ID	age	sex	n_babies	observer	year	pop_size	weight
168	1	f	1	8	1983	151	2.9779770292628056
171	0	f	1	8	1983	151	5.173026318007587
172	2	m	2	13	1983	151	5.392522363476228
210	2	f	0	12	1983	151	4.709172214559571
215	0	m	2	10	1983	151	4.27448237998079
228	0	m	0	14	1983	151	NA
240	1	f	0	13	1983	151	3.3097610948767975
242	1	f	1	17	1983	151	4.014652020432946
246	3	m	0	7	1983	151	5.127931743153138
250	2	f	0	9	1983	151	3.7472689267670494
263	0	f	0	2	1983	151	2.092905246200649
267	3	f	1	3	1983	151	5.0957232402975965
270	2	m	2	8	1983	151	4.7111498944108225
272	2	f	2	6	1983	151	4.565843737009878
274	3	f	0	7	1983	151	4.657678933676631
300	0	f	2	10	1983	151	3.107072861386184
308	2	f	0	4	1983	151	4.320465082760173
315	3	m	1	9	1983	151	NA
338	2	f	0	16	1983	151	4.095537932426914
340	0	m	2	5	1983	151	3.821020244928662
346	2	m	0	11	1983	151	5.335450903828318
353	0	m	0	4	1983	151	4.510212927001941
357	3	m	2	7	1983	151	5.152053504098944
365	0	m	1	18	1983	151	4.685684854008547
366	3	f	1	3	1983	151	5.127744168018504
394	0	m	1	14	1983	151	4.736638653130224
404	3	f	0	5	1983	151	4.9936802933230995
411	2	f	2	3	1983	151	4.558493169774859
412	2	f	2	19	1983	151	3.2592503957729324
418	1	f	0	16	1983	151	4.267533863198267
423	3	f	2	13	1983	151	4.382958309062763
426	1	f	0	7	1983	151	NA
430	0	f	0	2	1983	151	3.389653120903908
462	1	m	2	4	1983	151	3.8126231818228504
480	0	m	0	1	1983	151	3.5001318160235093
485	2	f	1	16	1983	151	4.0662039515477755
511	3	f	2	19	1983	151	3.9230483913049445
521	1	m	1	15	1983	151	NA
526	3	f	2	10	1983	151	4.936768058658485
527	1	f	1	16	1983	151	4.077003647448823
536	0	f	1	13	1983	151	3.4112691250784124
555	3	f	1	15	1983	151	5.267866839207966
566	0	m	2	17	1983	151	4.197931363203249
567	0	m	2	4	1983	151	3.5939038265799237
586	0	f	1	17	1983	151	3.1021583232375294
590	1	f	2	1	1983	151	3.5154565163856546
595	0	m	2	4	1983	151	3.3243035715646947
621	0	f	2	11	1983	151	3.594295320552207
628	1	m	0	13	1983	151	3.3764006342611848
659	0	m	2	14	1983	151	3.781269722210836
662	2	f	1	4	1983	151	3.9489099030022645
667	2	f	2	12	1983	151	4.486091907003158
671	3	m	1	12	1983	151	5.951605879336229
678	1	m	0	8	1983	151	3.8910262195470313
697	0	m	0	6	1983	151	3.9539914376105734
702	0	m	1	3	1983	151	3.9322372071886784
704	3	f	2	9	1983	151	4.81185113115004
733	3	m	1	4	1983	151	5.267515609150535
734	2	m	1	14	1983	151	NA
740	2	f	1	16	1983	151	4.605298742296506
758	1	f	2	12	1983	151	3.739677106131754
777	1	f	0	19	1983	151	4.8827942440692125
805	2	m	1	16	1983	151	4.4373121586881386
817	1	m	1	18	1983	151	3.4213146580241185
823	0	m	2	14	1983	151	3.5797658245408766
828	2	m	2	12	1983	151	4.051540998324152
840	3	m	0	15	1983	151	5.840602549735427
847	1	m	1	13	1983	151	4.760269675047347
856	0	m	1	13	1983	151	3.362625653578499
885	0	f	2	17	1983	151	4.19073194941692
897	3	f	1	8	1983	151	5.005799487956125
6	2	m	1	9	1984	132	4.864004562695869
17	0	m	1	18	1984	132	4.523792122603547
18	4	m	2	8	1984	132	7.141591622060452
28	4	m	0	11	1984	132	5.50592605838738
44	2	m	1	8	1984	132	4.683547558480219
50	1	f	1	6	1984	132	3.7106006234522972
51	2	f	2	11	1984	132	4.13197886894909
88	2	f	1	11	1984	132	4.0972870593890045
101	2	m	1	12	1984	132	3.912507981120565
105	1	m	1	13	1984	132	3.976640736200229
114	1	m	2	9	1984	132	3.8933887019636098
121	3	m	0	15	1984	132	5.479195803597788
124	2	f	1	19	1984	132	3.4539728407859562
126	2	m	2	7	1984	132	5.853628170907745
127	1	f	2	2	1984	132	3.386278741648943
155	4	f	2	8	1984	132	5.0087590728859395
156	0	f	1	17	1984	132	NA
158	3	f	0	7	1984	132	5.2092482144349495
168	2	f	2	13	1984	132	3.552614196475927
171	1	f	0	12	1984	132	5.763531743874403
172	3	m	1	10	1984	132	6.024483834989686
209	0	f	1	3	1984	132	3.4809346088551996
210	3	f	0	9	1984	132	6.02689193448914
215	1	m	2	1	1984	132	4.798031325864008
228	1	m	2	17	1984	132	4.601614670488299
240	2	f	2	5	1984	132	3.9720541643449536
242	2	f	2	3	1984	132	5.072518487621952
246	4	m	0	19	1984	132	5.12090283215335
250	3	f	1	13	1984	132	4.9054739924851045
267	4	f	0	14	1984	132	NA
270	3	m	1	3	1984	132	5.695479632059112
274	4	f	1	1	1984	132	5.374553981557737
292	0	f	0	18	1984	132	4.439179858252153
300	1	f	2	7	1984	132	3.426664278832871
308	3	f	0	2	1984	132	5.4393616870015995
315	4	m	1	6	1984	132	5.796521328198744
338	3	f	0	4	1984	132	5.1533198920378105
340	1	m	2	3	1984	132	4.671317654803669
353	1	m	0	20	1984	132	4.673806192006662
357	4	m	2	9	1984	132	NA
362	0	f	0	17	1984	132	2.4638674282397144
365	1	m	1	12	1984	132	5.013637362349474
366	4	f	1	18	1984	132	5.433778148075967
394	1	m	2	6	1984	132	5.4342799895815075
399	0	f	0	20	1984	132	3.6241549927439025
404	4	f	1	5	1984	132	5.027224075175397
411	3	f	1	10	1984	132	5.502903188930331
412	3	f	1	3	1984	132	4.0646602971237975
418	2	f	0	2	1984	132	4.772815057169774
423	4	f	1	16	1984	132	5.2153766013004
426	2	f	1	9	1984	132	5.200952659232499
429	0	f	0	9	1984	132	4.11361751834595
430	1	f	1	20	1984	132	4.679357510267369
462	2	m	0	4	1984	132	4.760797089234046
480	1	m	0	7	1984	132	4.532294521967486
485	3	f	1	9	1984	132	4.993855753215998
486	0	f	0	7	1984	132	3.3473151715882006
497	0	m	0	10	1984	132	3.179009857757857
511	4	f	2	10	1984	132	NA
521	2	m	2	9	1984	132	5.133156985112388
526	4	f	2	12	1984	132	5.2394319231715185
527	2	f	0	12	1984	132	4.439489446742392
536	1	f	0	17	1984	132	4.054959333321498
555	4	f	2	8	1984	132	5.826548079885214
566	1	m	2	3	1984	132	4.460623239717224
567	1	m	2	13	1984	132	5.148010350105302
586	1	f	2	19	1984	132	3.6771270059856285
590	2	f	2	15	1984	132	4.81923752384005
595	1	m	0	11	1984	132	3.733634734271351
607	0	f	0	8	1984	132	3.1890771856273292
617	0	f	2	20	1984	132	3.587446942011414
621	1	f	2	4	1984	132	NA
628	2	m	0	14	1984	132	4.708950315696458
635	0	f	0	16	1984	132	3.2799740857709416
659	1	m	1	4	1984	132	4.322750927652592
667	3	f	1	17	1984	132	NA
671	4	m	2	13	1984	132	6.632653027430389
678	2	m	0	11	1984	132	5.1454074978883035
682	0	f	0	9	1984	132	3.1940545662640467
697	1	m	0	7	1984	132	3.7539429406079803
702	1	m	2	11	1984	132	4.609110010026923
704	4	f	2	7	1984	132	4.903066603459711
733	4	m	1	12	1984	132	6.691640163384964
734	3	m	2	7	1984	132	5.461374024941099
740	3	f	1	20	1984	132	4.9262389950355026
744	0	m	0	16	1984	132	4.0121856389909825
758	2	f	0	8	1984	132	4.603332555826069
777	2	f	2	17	1984	132	5.220278747846058
805	3	m	1	17	1984	132	4.91192304208459
806	0	m	2	7	1984	132	2.577539471872672
817	2	m	1	9	1984	132	4.163957906749751
823	1	m	0	11	1984	132	4.059892403717605
828	3	m	1	17	1984	132	4.267744341016857
840	4	m	1	9	1984	132	6.023530747373891
847	2	m	0	1	1984	132	5.586598057152091
856	1	m	1	4	1984	132	4.151155350548717
863	0	m	2	3	1984	132	3.4577591830746917
885	1	f	1	9	1984	132	4.558965951093007
897	4	f	2	16	1984	132	5.203843518694326
6	3	m	1	9	1985	139	NA
14	0	f	0	7	1985	139	4.381345517787994
17	1	m	0	8	1985	139	5.809427154186201
18	5	m	1	3	1985	139	7.930472049319817
28	5	m	0	16	1985	139	6.284395725030324
44	3	m	1	13	1985	139	6.015699612135858
50	2	f	0	2	1985	139	4.90589706680172
51	3	f	1	15	1985	139	4.9773693448585465
57	0	m	0	5	1985	139	4.635110346484325
88	3	f	0	1	1985	139	5.7591229101112225
101	3	m	1	6	1985	139	4.960285095121634
105	2	m	2	3	1985	139	5.361781066906664
114	2	m	1	2	1985	139	4.854402851023908
116	0	m	0	12	1985	139	4.139504847651962
119	0	m	1	11	1985	139	3.9660292600428977
121	4	m	2	13	1985	139	6.415212520896505
124	3	f	1	1	1985	139	3.9377990273509473
126	3	m	2	16	1985	139	6.893300313424181
127	2	f	0	9	1985	139	4.907639331584596
129	0	f	0	18	1985	139	3.6634197963833026
132	0	f	2	15	1985	139	NA
139	0	m	2	7	1985	139	4.589728653588978
155	5	f	2	18	1985	139	6.081611460114714
156	1	f	1	18	1985	139	4.052108436407954
158	4	f	2	14	1985	139	5.943365654690281
164	0	f	2	11	1985	139	4.591689099460889
166	0	m	1	15	1985	139	4.410314059473087
168	3	f	0	4	1985	139	4.656732896130153
171	2	f	1	17	1985	139	6.555090967356592
172	4	m	1	8	1985	139	6.645074493989922
190	0	m	0	11	1985	139	4.199545486862488
203	0	f	0	16	1985	139	3.7902521136936453
207	0	m	1	11	1985	139	4.566992896543557
209	1	f	2	12	1985	139	4.9873361167506856
210	4	f	2	5	1985	139	6.761638904665178
215	2	m	0	6	1985	139	6.560235394438613
228	2	m	1	14	1985	139	NA
240	3	f	0	18	1985	139	4.973662856758973
242	3	f	2	8	1985	139	5.710862263409614
246	5	m	2	20	1985	139	6.622949983021019
250	4	f	1	8	1985	139	5.692699950155398
267	5	f	1	3	1985	139	NA
270	4	m	1	15	1985	139	6.3797252446600075
274	5	f	2	11	1985	139	6.237099575183603
292	1	f	2	2	1985	139	5.7878677790681285
300	2	f	1	4	1985	139	4.94564837618326
304	0	m	2	13	1985	139	4.701165362806078
308	4	f	2	2	1985	139	6.829019482487177
315	5	m	1	15	1985	139	7.025080031307126
338	4	f	1	12	1985	139	5.903184822524691
348	0	f	0	19	1985	139	2.8244441874165354
349	0	m	2	13	1985	139	4.522990682305004
353	2	m	0	15	1985	139	5.971594584729721
357	5	m	0	8	1985	139	6.6735654752431675
359	0	m	0	11	1985	139	5.287765775659643
362	1	f	2	16	1985	139	3.8186426890955274
365	2	m	2	7	1985	139	6.230612984171936
366	5	f	2	2	1985	139	6.761480118478677
382	0	f	2	2	1985	139	NA
394	2	m	2	7	1985	139	NA
399	1	f	2	18	1985	139	4.78246858059357
411	4	f	2	6	1985	139	NA
412	4	f	1	8	1985	139	5.092213942053278
418	3	f	2	8	1985	139	5.6796243840862655
421	0	f	0	1	1985	139	4.660152075514221
426	3	f	2	1	1985	139	NA
427	0	m	2	13	1985	139	4.969076873697387
428	0	m	2	8	1985	139	4.234851804387232
429	1	f	2	7	1985	139	5.066096886631391
430	2	f	2	13	1985	139	5.212922939429491
452	0	f	2	13	1985	139	3.644674254077837
480	2	m	2	5	1985	139	5.5619476148387
485	4	f	0	11	1985	139	6.212503848882643
486	1	f	2	15	1985	139	4.455174139274565
497	1	m	0	16	1985	139	4.085352202886789
511	5	f	1	15	1985	139	5.956815608904852
513	0	f	2	11	1985	139	4.059139104634012
521	3	m	0	10	1985	139	5.888317485298645
526	5	f	2	17	1985	139	6.365063522903694
527	3	f	2	9	1985	139	5.8563987401469175
536	2	f	0	5	1985	139	5.080886658388538
555	5	f	2	11	1985	139	6.7901460209653965
565	0	m	2	14	1985	139	4.140043935625682
566	2	m	2	6	1985	139	6.258382731476338
567	2	m	1	12	1985	139	NA
586	2	f	0	19	1985	139	4.4875699597186625
590	3	f	0	12	1985	139	NA
591	0	f	1	1	1985	139	4.214544741532767
595	2	m	0	9	1985	139	4.94160815015439
607	1	f	0	8	1985	139	4.106815567378343
609	0	m	2	7	1985	139	4.037220442760485
617	1	f	1	11	1985	139	4.420155740847042
621	2	f	2	9	1985	139	4.9153242390716
628	3	m	2	10	1985	139	NA
635	1	f	0	7	1985	139	3.9440598276300634
659	2	m	1	10	1985	139	5.981391033271125
665	0	m	1	16	1985	139	5.185722818314486
667	4	f	0	6	1985	139	NA
671	5	m	1	4	1985	139	NA
674	0	m	0	7	1985	139	NA
678	3	m	1	8	1985	139	5.9587095880868874
682	1	f	1	10	1985	139	3.482483276575235
686	0	m	2	1	1985	139	5.3401776378447465
697	2	m	1	6	1985	139	5.157990541004369
702	2	m	0	4	1985	139	6.007783479267009
704	5	f	2	8	1985	139	6.751798142289317
733	5	m	2	1	1985	139	7.488787891611113
734	4	m	0	8	1985	139	6.244866251873161
740	4	f	1	14	1985	139	6.115111444283363
744	1	m	0	7	1985	139	4.306226038969052
758	3	f	0	18	1985	139	5.74608293198045
777	3	f	0	5	1985	139	6.291891343170521
785	0	m	2	8	1985	139	4.670493534932265
805	4	m	2	18	1985	139	5.78302229230267
806	1	m	2	1	1985	139	3.7680567265036182
813	0	f	1	1	1985	139	3.9032673942306184
817	3	m	0	9	1985	139	5.508724714888658
820	0	m	2	6	1985	139	4.794008554889259
823	2	m	1	15	1985	139	4.960202642098113
828	4	m	1	17	1985	139	5.562659363165691
840	5	m	0	17	1985	139	6.984042890326123
847	3	m	2	17	1985	139	6.383410643616145
856	2	m	2	12	1985	139	5.465396202363182
863	1	m	1	15	1985	139	4.522187631221137
876	0	m	1	5	1985	139	5.1839959911664035
877	0	m	0	4	1985	139	3.159522295184962
885	2	f	2	8	1985	139	5.580652869287024
894	0	m	1	20	1985	139	NA
897	5	f	0	2	1985	139	6.791271129073928
898	0	m	2	11	1985	139	4.414022617984166
6	4	m	1	6	1986	163	6.313248499568351
14	1	f	0	12	1986	163	4.528736638528784
17	2	m	1	1	1986	163	5.888330726471028
18	6	m	1	8	1986	163	7.51540039398609
28	6	m	2	4	1986	163	NA
44	4	m	1	15	1986	163	NA
50	3	f	1	18	1986	163	NA
51	4	f	1	18	1986	163	5.205614231139309
57	1	m	2	14	1986	163	4.454492301110477
66	0	f	1	3	1986	163	NA
71	0	f	2	1	1986	163	3.7862645024068367
86	0	m	0	7	1986	163	3.0040141210112026
88	4	f	1	16	1986	163	NA
101	4	m	0	17	1986	163	NA
105	3	m	2	2	1986	163	4.640945958871127
114	3	m	2	4	1986	163	5.021395994470905
116	1	m	1	20	1986	163	3.56592085335971
119	1	m	2	12	1986	163	3.8752436164323236
121	5	m	2	19	1986	163	NA
124	4	f	0	6	1986	163	4.421983648621004
126	4	m	1	3	1986	163	6.059205272727287
127	3	f	2	15	1986	163	4.664312492694339
129	1	f	0	4	1986	163	3.761481021820236
132	1	f	2	15	1986	163	3.6363569040243613
139	1	m	1	2	1986	163	3.9523895747170585
155	6	f	1	4	1986	163	6.166460290289633
156	2	f	0	10	1986	163	4.185322238939998
158	5	f	0	1	1986	163	6.050419557484067
164	1	f	0	14	1986	163	4.8359952840909095
166	1	m	1	11	1986	163	4.531435212685263
168	4	f	0	12	1986	163	4.504352413829222
171	3	f	0	19	1986	163	6.745680975530841
172	5	m	0	17	1986	163	7.397417192593636
189	0	m	0	14	1986	163	4.589492884973878
190	1	m	2	17	1986	163	4.306796203316594
196	0	f	1	9	1986	163	NA
203	1	f	2	11	1986	163	3.5028078645768543
207	1	m	2	5	1986	163	4.3810251341867295
209	2	f	2	8	1986	163	4.641562924923797
210	5	f	0	16	1986	163	7.1985075978791455
215	3	m	1	4	1986	163	NA
223	0	f	2	12	1986	163	NA
240	4	f	1	1	1986	163	5.099571605512356
242	4	f	0	4	1986	163	5.9325257294734195
246	6	m	0	10	1986	163	6.591964820822107
267	6	f	1	14	1986	163	NA
270	5	m	1	18	1986	163	6.179558911847601
274	6	f	0	2	1986	163	6.2751506598744164
292	2	f	0	5	1986	163	4.975451954540287
300	3	f	0	9	1986	163	4.92606617163215
304	1	m	0	4	1986	163	4.735799051254982
308	5	f	1	19	1986	163	6.225597469809359
315	6	m	2	7	1986	163	6.794190932308847
338	5	f	1	1	1986	163	5.911972109612159
344	0	m	2	19	1986	163	4.030491421065568
348	1	f	0	7	1986	163	NA
353	3	m	2	12	1986	163	6.123767031565085
357	6	m	2	7	1986	163	7.110385398022691
359	1	m	2	8	1986	163	4.945165202344811
362	2	f	1	17	1986	163	4.235319828878897
365	3	m	2	9	1986	163	6.3346125960050585
366	6	f	0	4	1986	163	6.211469174255754
382	1	f	0	2	1986	163	4.148441794197441
383	0	f	0	15	1986	163	3.2477825871132024
394	3	m	1	16	1986	163	6.722795807068737
399	2	f	0	12	1986	163	4.285129390455577
411	5	f	1	8	1986	163	6.539193663717738
412	5	f	2	17	1986	163	4.991559127916921
418	4	f	1	1	1986	163	6.005295750290524
421	1	f	2	4	1986	163	4.577538793270404
426	4	f	1	14	1986	163	6.475066405512067
427	1	m	1	9	1986	163	5.70187994721542
428	1	m	2	20	1986	163	NA
429	2	f	0	18	1986	163	5.067801039177806
430	3	f	1	16	1986	163	5.570303760631921
435	0	f	1	2	1986	163	3.8367459519842364
450	0	m	2	16	1986	163	3.3750774148083895
452	1	f	1	15	1986	163	3.3935597507000557
454	0	f	2	10	1986	163	3.6934036120404277
480	3	m	1	3	1986	163	NA
485	5	f	1	7	1986	163	6.427316413283264
497	2	m	1	19	1986	163	4.090248722068348
511	6	f	0	9	1986	163	5.4796069813861035
513	1	f	2	4	1986	163	3.937393460032612
521	4	m	2	7	1986	163	6.005460242885936
526	6	f	0	17	1986	163	6.619278471296932
527	4	f	2	15	1986	163	5.94916408184372
536	3	f	1	20	1986	163	5.260332118865752
555	6	f	2	16	1986	163	6.902678904624515
565	1	m	0	18	1986	163	3.7014509148580994
566	3	m	0	3	1986	163	5.72593645889456
567	3	m	1	2	1986	163	5.701376197847905
586	3	f	1	9	1986	163	4.983029633513444
590	4	f	2	7	1986	163	5.720387456631267
591	1	f	0	4	1986	163	NA
595	3	m	1	3	1986	163	5.189417338669683
607	2	f	0	9	1986	163	4.032646486740548
609	1	m	2	1	1986	163	4.211307304862706
617	2	f	2	5	1986	163	4.4154090493651506
621	3	f	1	14	1986	163	4.938209611669508
628	4	m	2	17	1986	163	5.662570322969398
630	0	f	0	2	1986	163	3.5978554416054473
635	2	f	1	11	1986	163	4.281535228910644
653	0	m	1	3	1986	163	4.706426814841001
659	3	m	2	20	1986	163	5.2620381863285575
665	1	m	1	3	1986	163	4.714730647249171
667	5	f	2	15	1986	163	6.241245866918161
671	6	m	0	5	1986	163	7.605040709399766
674	1	m	0	16	1986	163	4.742945925078173
678	4	m	0	15	1986	163	5.948710653906938
683	0	m	1	13	1986	163	4.388773866226367
686	1	m	2	16	1986	163	NA
687	0	f	1	4	1986	163	4.217355178908653
697	3	m	1	13	1986	163	NA
702	3	m	1	17	1986	163	6.049607793803781
704	6	f	2	15	1986	163	6.357769928634844
705	0	m	1	18	1986	163	3.260462720255891
721	0	f	1	17	1986	163	NA
733	6	m	1	1	1986	163	7.317843254423949
734	5	m	1	8	1986	163	6.377197899515335
740	5	f	0	15	1986	163	6.161880738294233
744	2	m	0	14	1986	163	4.988033050791865
758	4	f	0	14	1986	163	NA
764	0	m	1	20	1986	163	4.1285006807180205
777	4	f	1	9	1986	163	6.141026515976089
785	1	m	2	13	1986	163	4.4285868282953755
797	0	f	1	9	1986	163	4.339482357642215
805	5	m	1	14	1986	163	5.724487396770213
806	2	m	0	8	1986	163	3.761547956579698
813	1	f	2	9	1986	163	4.423864279448857
817	4	m	2	4	1986	163	5.580498300441798
820	1	m	2	1	1986	163	5.099950129284736
823	3	m	0	1	1986	163	5.645472176716644
828	5	m	1	7	1986	163	5.85740614776685
840	6	m	1	18	1986	163	6.784593788347618
847	4	m	0	12	1986	163	6.875523607642217
856	3	m	1	10	1986	163	4.929789663534574
863	2	m	0	20	1986	163	4.721069561192293
864	0	f	1	7	1986	163	3.8695581094362903
876	1	m	2	16	1986	163	5.071597681404525
877	1	m	0	16	1986	163	3.81260620506439
894	1	m	0	1	1986	163	4.503134145209508
897	6	f	1	10	1986	163	6.673484258546907
898	1	m	2	11	1986	163	4.696698306693293
6	5	m	2	3	1987	167	6.898805864047128
14	2	f	2	14	1987	167	5.102221778344053
15	0	m	2	6	1987	167	5.09924338709055
17	3	m	2	3	1987	167	NA
18	7	m	2	20	1987	167	8.370867672467492
28	7	m	0	4	1987	167	7.635231886508335
44	5	m	2	7	1987	167	6.772776520671372
50	4	f	2	6	1987	167	5.3407231234428
51	5	f	2	5	1987	167	5.809925356837176
57	2	m	1	18	1987	167	5.386668121237572
58	0	m	2	15	1987	167	4.263671499346433
59	0	m	2	11	1987	167	4.604696813316439
60	0	m	0	4	1987	167	4.333645062392698
66	1	f	0	6	1987	167	NA
